	data	cluster
978	онлайн про попугаев	1
979	ИМЯ	1
980	попугай для самогона	0
981	видео про говорящих попугаев	1
982	попугай шея	0
983	попугать человека	0
984	волнистый попугай болезни симптомы	4
985	попугаи цены в зоомагазине	1
986	попугай полли	0
987	странный попугай	0
988	игрушки для попугаев своими руками	0
989	ожереловый попугай отзывы	0
990	волнистый попугай мальчик или девочка	4
991	попугай простой	0
992	смотреть смешные попугаи	1
993	сколько лет живут волнистые попугаи в домашних	4
994	перевезти попугая	5
995	теле попугай	0
996	ИМЯ	1
997	отдам попугая в хорошие	5
998	попугай из шины	0
999	ИМЯ	1
1000	разговор волнистых попугаев	4
1001	живут попугай неразлучник	1
1002	попугай кеша онлайн бесплатно	6
1003	хирург попугаев	0
1004	ИМЯ	1
1005	ИМЯ	1
1006	почему самка попугая	5
1007	ИМЯ	1
1008	попугай у стругацких  букв сканворд	0
1009	хочу говорящего попугая	1
1010	выставочные попугаи	0
1011	попугай боится рук	0
1012	попугай карандашом поэтапно	0
1013	попугай беловежская	0
1014	желто зеленый попугай	0
1015	возьму попугая в хорошие	5
1016	хочу завести попугая	5
1017	отдам попугая в хорошие руки	5
1018	ИМЯ	1
1019	ИМЯ	1
1020	попугай тяжело дышит	0
1021	попугая накрывать	5
1022	алиса попугаев	0
1023	рома и попугай	0
1024	костюм попугая	5
1025	попугай фото описание	1
1026	попугай кеша видео	6
1027	попугай самец или самка	0
1028	волнистый попугай сидит	4
1029	редкие попугаи	0
1030	возьму попугая в хорошие руки	5
1031	попугай чешет	0
1032	приму попугаев	0
1033	клещ у волнистого попугая	1
1034	попугай болеет	0
1035	попугаи в нижнем новгороде	0
1036	удав попугай мартышка слоненок	0
1037	пшено попугаям	0
1038	смешные попугаи до слез	0
1039	каик попугай	0
1040	продам говорящего попугая	1
1041	купить попугая в магазине	3
1042	попугай розелла купить	3
1043	принимаю попугаев	0
1044	размер волнистого попугая	1
1045	кроссворды попугай	0
1046	купить клетку для попугая недорого	3
1047	обучение попугая	5
1048	живого попугая	5
1049	ИМЯ	1
1050	больной попугай	0
1051	крупный попугай  букв	0
1052	ИМЯ	1
1053	говорящий волнистый попугай видео	4
1054	ИМЯ	1
